dated_uid,dater_uid,interests_correlation,dater_liked_dated,probability_dated_wants_to_date,already_met_before,dater_wants_to_date,dated_wants_to_date,is_match
228619901404,470974088216,0.14,7.0,6.0,True,True,False,0
893265985235,470974088216,0.54,7.0,5.0,True,True,False,0
248910540851,470974088216,0.61,7.0,6.0,True,True,True,1
965464370378,470974088216,0.21,6.0,6.0,True,True,True,1
405533056955,470974088216,0.25,6.0,5.0,True,False,True,0
860315782520,470974088216,0.34,6.0,5.0,True,True,False,0
891400566773,470974088216,0.28,7.0,7.0,True,True,True,1
222389758252,470974088216,-0.36,6.0,6.0,True,True,False,0
228619901404,377531038735,0.29,6.0,4.0,True,False,False,0
893265985235,377531038735,0.18,7.0,3.0,True,False,False,0
679117384151,377531038735,0.1,6.0,7.0,True,False,True,0
248910540851,377531038735,-0.21,7.0,8.0,True,True,True,1
965464370378,377531038735,0.32,8.0,6.0,True,False,True,0
405533056955,377531038735,0.73,6.0,5.0,True,False,True,0
860315782520,377531038735,0.6,8.0,7.0,True,True,False,0
509979205051,377531038735,0.07,5.0,6.0,True,False,True,0
891400566773,377531038735,0.11,5.0,6.0,True,True,True,1
222389758252,377531038735,0.39,8.0,7.0,True,True,False,0
228619901404,904356017601,-0.18,6.0,7.0,True,False,False,0
893265985235,904356017601,-0.18,8.0,1.0,True,False,False,0
679117384151,904356017601,0.05,4.0,1.0,True,False,True,0
248910540851,904356017601,-0.18,8.0,10.0,True,True,True,1
965464370378,904356017601,0.21,7.0,7.0,True,False,True,0
405533056955,904356017601,0.37,4.0,3.0,True,False,True,0
860315782520,904356017601,0.35,5.0,1.0,True,False,True,0
509979205051,904356017601,0.15,6.0,6.0,True,False,False,0
891400566773,904356017601,-0.47,8.0,8.0,True,True,True,1
222389758252,904356017601,-0.19,10.0,8.0,True,True,False,0
228619901404,241875085602,0.33,6.0,6.0,True,True,False,0
893265985235,241875085602,0.37,7.0,6.0,True,True,False,0
679117384151,241875085602,-0.51,6.0,2.0,True,False,True,0
248910540851,241875085602,0.12,9.0,4.0,True,True,True,1
965464370378,241875085602,0.35,4.0,3.0,True,False,True,0
405533056955,241875085602,0.19,2.0,2.0,True,False,True,0
860315782520,241875085602,0.47,8.0,7.0,True,True,False,0
509979205051,241875085602,0.03,5.0,5.0,True,False,False,0
891400566773,241875085602,0.46,9.0,6.0,True,True,True,1
222389758252,241875085602,0.43,9.0,8.0,True,True,False,0
228619901404,376556943326,0.19,7.0,4.0,True,False,False,0
893265985235,376556943326,0.21,7.0,3.0,True,False,True,0
679117384151,376556943326,0.52,7.0,8.0,True,False,True,0
248910540851,376556943326,-0.46,8.0,6.0,True,True,True,1
965464370378,376556943326,-0.27,5.0,6.0,True,False,True,0
405533056955,376556943326,0.59,5.0,5.0,True,False,True,0
860315782520,376556943326,0.31,8.0,7.0,True,True,False,0
509979205051,376556943326,0.08,5.0,7.0,True,False,True,0
891400566773,376556943326,-0.34,6.0,6.0,True,True,True,1
222389758252,376556943326,-0.16,7.0,5.0,True,True,False,0
228619901404,442846029935,0.19,5.0,5.0,True,True,False,0
893265985235,442846029935,0.03,10.0,5.0,True,True,True,1
679117384151,442846029935,0.68,8.0,5.0,True,True,True,1
248910540851,442846029935,-0.26,7.0,5.0,True,True,True,1
965464370378,442846029935,-0.01,5.0,5.0,True,True,True,1
405533056955,442846029935,0.42,6.0,5.0,True,True,True,1
860315782520,442846029935,0.21,7.0,5.0,True,True,True,1
509979205051,442846029935,0.1,7.0,5.0,True,True,False,0
891400566773,442846029935,-0.35,7.0,6.0,True,True,True,1
222389758252,442846029935,-0.23,8.0,5.0,True,True,False,0
470974088216,228619901404,0.14,7.0,4.0,True,False,True,0
377531038735,228619901404,0.29,7.0,2.0,True,False,False,0
758074869557,228619901404,-0.24,5.0,2.0,True,False,False,0
904356017601,228619901404,-0.18,6.0,3.0,True,False,False,0
238957697401,228619901404,-0.43,6.0,5.0,True,False,False,0
241875085602,228619901404,0.33,7.0,4.0,True,False,True,0
376556943326,228619901404,0.19,7.0,4.0,True,False,False,0
215862483279,228619901404,-0.03,7.0,4.0,True,False,True,0
442846029935,228619901404,0.19,6.0,4.0,True,False,True,0
470974088216,893265985235,0.54,8.0,4.0,True,False,True,0
377531038735,893265985235,0.18,8.0,4.0,True,False,False,0
758074869557,893265985235,-0.14,7.0,3.0,True,False,False,0
904356017601,893265985235,-0.18,6.0,3.0,True,False,False,0
238957697401,893265985235,0.0,7.0,4.0,True,False,False,0
241875085602,893265985235,0.37,7.0,4.0,True,False,True,0
376556943326,893265985235,0.21,8.0,4.0,True,True,False,0
215862483279,893265985235,-0.11,9.0,4.0,True,True,True,1
442846029935,893265985235,0.03,8.0,4.0,True,True,True,1
470974088216,405533056955,0.25,7.0,6.0,True,True,False,0
377531038735,405533056955,0.73,7.0,5.0,True,True,False,0
758074869557,405533056955,-0.3,6.0,7.0,True,True,False,0
904356017601,405533056955,0.37,6.0,6.0,True,True,False,0
238957697401,405533056955,0.06,6.0,7.0,True,False,True,0
241875085602,405533056955,0.19,6.0,6.0,True,True,False,0
376556943326,405533056955,0.59,7.0,7.0,True,True,False,0
