uid,bio
470974088216,"Thriving in the gym, cheering at the sports arena or melting into a comfy couch for a movie marathon, wherever you spot me, you'll find me wearing my unique sense of humor and sincerity. Dinner and music concerts are my top choices for a lovely night. Not so secretly hoping to find someone who also finds joy in exercise, sports, and most importantly, TV and movies."
377531038735,"Intellectual Yet Idiosyncratic: That's the tagline of my life. Salutations! I'm a lover of fine dining, theater, and literature. Intelligence? A 10/10, but I'm also a solid 7 in the looks department. My interests span from silence-filled art museums to the pulsing life of clubbing. Ambition doesn't define me, because such temporal pursuits often overlook the art of living. I aim for a mindful existence, because life is too important to be taken seriously. If you think we can share a laugh, a painting, or a good book, do hit me up!"
904356017601,"Between the art galleries and theaters, the concert halls and the mountain trails, the deliciously set dining tables and the enchanting pages of a book, you'll find me - a lover of culture, nature and intellectual pursuits. Not one to boast, but my attributes read something like - 9/10 intelligence, 8/10 ambition, 7/10 humor, 8/10 sincerity and 7/10 attractiveness. Sports and shopping, however, are my kryptonite. Intrigued yet? Looking forward to sharing these experiences and more!"
241875085602,"Sporty? Check. Keen on museums and art? Absolutely. Desperately hopeless at shopping and yoga? You bet. I love nothing more than getting sweaty on a hike or laughing till it hurts. I guarantee stories of adventures, peppered with interesting art facts I’ve picked up along the way. Can’t wait to find that special someone who shares my love for sports and culture. My friends say I am genuine, smart and humorous! Give me a shout if you’re excited by that combo."
376556943326,"Do you obsess over Van Gogh's color palette or the fine tunings of the latest symphony? Then we might just be a match! I'm a lifelong lover of art, music, and anything that gets the critiquing part of my mind working overtime. Dominating the top score on Just Dance while jamming to Bruno Mar's hits? Yes, please!  Or maybe you're more of a theater or concert person? Either way, sign me up for the front row! And the joy of finishing a good book is not lost on me – nothing beats curling up with a suspense novel after a hard day's work. But be warned! I enjoy spontaneous shopping trips and indulging fancy meals. No, a Caesar salad won't cut it – I’m talking about a full-course meal with all the trimmings. Sushi and yoga go together right? I think so! P.S. I promise to make you laugh at least once a day!"
442846029935,"A maverick in my own right - I am an individual who believes in utilizing all frustrations on the dance floor in the club rather than the gym. My love for dining and interesting conversations about movies or theater productions dominates my social life. Naturally, these interests have enriched my intellectual leanings. Rated highly in attractiveness and humor, don't be surprised if my company leaves you entertained and intrigued."
228619901404,"Passionate sports follower, a voracious reader, an occasional movie buff, and a lover of all things music - that's who I am. Dip it all in some sincerity, sprinkle a bit of humor and coat it in intelligence; that's my recipe for life. With interests spanning from the living room to the outdoors, I’m hoping to find someone who can roll with me."
893265985235,"A sports fanatic with an undying love for live music, that's me in a nutshell! There's always time for exercise, whether it's for a big game or just staying fit. But life isn't all about the sporty side - I also find joy in dining at great places, exploring museums, and exposing myself to the world of art. I'm often found with a book in one hand and a remote control in the other, with laughter being my go-to language. I'm not your typical die-hard gamer, or an intense hiker - but when the occasion calls, I’m up for the challenge. If you're looking for someone with a bit of energy, smarts, and a whole lot of charm - well, here I am!"
405533056955,"I am: An active, intelligent individual who cherishes the beauty in art, culture, sports, and my local restaurants. You are: Looking for someone witty, ambitious, and genuine. Together, we could explore museums, have deep intellectual conversations, listen to our favourite music at concerts or maybe even at home on a chill day."
860315782520,"Adventuring the world of sports, marvelling at unique artworks, exploring the magic of theater and movies - welcome to my life. I've been described as 'attractive', 'sincere', 'smart' with a good sense of humor. Watch out though - my ambition might not be through the roof, but my passion for what I love is. Looking for someone who isn’t afraid to share that zest for life. Are you ready to join the journey?"
509979205051,"I believe life is most enjoyed with the finest food, the best tv shows, and blockbuster movies. Dining and relaxing before the TV are high forms of art in my book. I might not be a clubbing enthusiast or a yoga practitioner, but I have enough humor and ambition to keep things interesting. Sincere, witty, and purposeful, that's me, and yes, I do occasionally enjoy a good book, some music, or even a bout of gaming."
