PreferenceID,Age,Gender,Education,Caste,Profession,Residence,Religion,Height_cm,Extras,userID
P001,28,Female,MA B.Ed,General,15LPA,rural,Hindu,152,,1
P002,35,Male,MA,Brahmin,Advocate,urban,Hindu,152,,2
P003,32,Female,MA B.Ed,OBC,Business,urban,Muslim,132,,3
P004,19,Male,B.Tech,OBC,Business,urban,Hindu,162,,4
P005,26,Male,MSC B.Ed,Kayastha,MNC-IT,urban,Others,162,,5
P006,32,Male,MBA,OBC,MNC-IT,rural,Hindu,132,,6
P007,35,Female,MA,General,College lecturer,rural,Muslim,157,,7
P008,18,Female,MSC B.Ed,Sunni,Business,rural,Hindu,157,,8
P009,26,Male,MA,OBC,MNC-IT,urban,Muslim,162,,9
P010,26,Female,MBA,Brahmin,Bank,urban,Muslim,154,,10
P011,30,Female,BA,OBC,Digital Marketting B'lore,urban,Muslim,162,,11
P012,20,Male,MA,General,IT,rural,Christian,157,,12
P013,28,Male,B.Tech MBA,Brahmin,Law Firm,rural,Hindu,152,,13
P014,36,Male,B.Tech MBA,Kayastha,Digital Marketting B'lore,urban,Hindu,132,,14
P015,25,Female,B.Tech MBA,General,15LPA,rural,Hindu,157,,15
P016,33,Male,MSC B.Ed,Kayastha,MNC-IT,urban,Christian,157,,16
P017,36,Male,MA B.Ed,SC,Law Firm,rural,Muslim,162,,17
P018,36,Female,PhD,General,Business,rural,Hindu,157,,18
P019,24,Male,MA,Banik,Business,rural,Christian,132,,19
P020,28,Female,MA,General,Researcg-Scholar-germany,urban,Hindu,157,,20
P021,33,Female,MBA,OBC,IT,urban,Muslim,157,,21
P022,31,Female,B.Tech,Brahmin,College lecturer,rural,Muslim,162,,22
P023,19,Female,MBA,Brahmin,MNC-IT,rural,Muslim,152,,23
P024,25,Male,BA,General,Advocate,rural,Hindu,132,,24
P025,37,Female,MBA,Brahmin,12LPA,rural,Muslim,157,,25
P026,36,Female,MA,Brahmin,MNC-IT,urban,Others,162,,26
P027,31,Female,BSc,Kayastha,MNC-IT,rural,Christian,154,,27
P028,31,Male,MBA,Kayastha,Bank,rural,Hindu,154,,28
P029,21,Female,MSC B.Ed,General,Business,rural,Others,162,,29
P030,38,Male,MA,Brahmin,Advocate,rural,Muslim,132,,30
P031,25,Female,MSC B.Ed,Sunni,Business,rural,Muslim,154,,31
P032,35,Female,B.Tech MBA,Baisya,15LPA,rural,Hindu,162,,32
P033,24,Male,BA,OBC,Business,urban,Sikh,162,,33
P034,33,Male,MBA,General,15LPA,urban,Christian,152,,34
P035,31,Female,MA B.Ed,Kayastha,Business,rural,Hindu,152,,35
P036,21,Female,MSC B.Ed,General,Researcg-Scholar-germany,urban,Hindu,162,,36
P037,23,Male,B.Tech,OBC,12LPA,rural,Hindu,157,,37
P038,38,Male,B.Tech,Baisya,Business,urban,Hindu,132,,38
P039,27,Male,MBA,Kayastha,College lecturer,urban,Hindu,162,,39
P040,32,Male,BA,Kayastha,12LPA,rural,Hindu,162,,40
P041,27,Female,BA,OBC,IT,rural,Others,162,,41
P042,32,Male,MA,Tambuli,Law Firm,urban,Hindu,162,,42
P043,24,Female,BA,Brahmin,IT,urban,Others,152,,43
P044,22,Female,MSC B.Ed,Sunni,MNC-IT,rural,Hindu,154,,44
P045,39,Male,MBA,Kayastha,MNC-IT,urban,Hindu,162,,45
P046,38,Female,MA,Brahmin,20LPA,rural,Christian,157,,46
P047,39,Male,MA B.Ed,Brahmin,Business,urban,Hindu,162,,47
P048,38,Female,BA,Kayastha,Bank,urban,Hindu,162,,48
P049,33,Female,BA,Baisya,12LPA,urban,Hindu,157,,49
P050,30,Female,MA,Brahmin,Business,urban,Others,152,,50
P051,26,Female,BSc,SC,Advocate,rural,Muslim,152,,51
P052,25,Male,MA,Brahmin,MNC-IT,rural,Muslim,154,,52
P053,29,Male,MBA,General,IT,urban,Hindu,132,,53
P054,30,Male,MA,Brahmin,Bank,urban,Others,162,,54
P055,21,Male,BA,OBC,IT,rural,Hindu,162,,55
P056,37,Female,MA B.Ed,Kayastha,Law Firm,rural,Christian,132,,56
P057,32,Male,MBA,Kayastha,College lecturer,rural,Hindu,152,,57
P058,19,Female,MSC B.Ed,Kayastha,Hospital Nurse,rural,Hindu,157,,58
P059,21,Male,B.Tech,Brahmin,MNC-IT,rural,Others,162,,59
P060,29,Female,B.Tech,SC,Bank,rural,Muslim,132,,60
P061,22,Male,MA,Brahmin,15LPA,rural,Hindu,132,,61
P062,20,Female,B.Tech,General,IT,rural,Sikh,154,,62
P063,19,Male,B.Tech MBA,Sunni,MNC-IT,urban,Hindu,132,,63
P064,37,Female,MA B.Ed,Kayastha,MNC-IT,rural,Others,157,,64
P065,38,Female,BA,SC,Business,rural,Muslim,157,,65
P066,34,Male,B.Tech,Chatterjee,Bank,rural,Sikh,154,,66
P067,24,Male,BA,Kayastha,College lecturer,rural,Hindu,157,,67
P068,21,Female,MSC B.Ed,Kayastha,Law Firm,urban,Muslim,152,,68
P069,32,Male,B.Tech,General,MNC-IT,urban,Hindu,154,,69
P070,19,Female,LLB,Brahmin,15LPA,urban,Hindu,154,,70
P071,37,Male,BSc,Kayastha,Pharma Co B'loe,rural,Muslim,162,,71
P072,23,Male,MBA,Tili,Advocate,rural,Christian,152,,72
P073,21,Female,MSC B.Ed,General,20LPA,urban,Hindu,157,,73
P074,20,Male,BA,OBC,Pharma Co B'loe,rural,Christian,154,,74
P075,31,Male,BSc,Swarnakar,Digital Marketting B'lore,rural,Muslim,162,,75
P076,37,Female,BA,Brahmin,Business,urban,Hindu,157,,76
P077,34,Male,MBA,Brahmin,Hospital Nurse,rural,Hindu,132,,77
P078,19,Male,MSC B.Ed,SC,Business,rural,Others,157,,78
P079,28,Female,B.Tech MBA,Brahmin,Law Firm,rural,Hindu,162,,79
P080,18,Female,MBA,Chatterjee,Business,urban,Hindu,157,,80
P081,21,Male,MBA,Baisya,IT,rural,Christian,132,,81
P082,22,Male,BA,Brahmin,Business,rural,Hindu,132,,82
P083,24,Male,MA,Brahmin,15LPA,urban,Muslim,162,,83
P084,23,Female,MBA,OBC,Business,rural,Christian,157,,84
P085,30,Female,BA,General,MNC-IT,urban,Sikh,162,,85
P086,36,Male,PhD,General,IT,rural,Sikh,132,,86
P087,19,Male,BA,Kayastha,Advocate,urban,Hindu,157,,87
P088,19,Male,B.Tech MBA,Sunni,Advocate,urban,Muslim,162,,88
P089,19,Male,B.Tech,Kayastha,Advocate,rural,Hindu,154,,89
P090,39,Female,MA,Brahmin,IT,rural,Hindu,157,,90
P091,21,Female,B.Tech MBA,Namasudra,12LPA,rural,Muslim,162,,91
P092,24,Female,BA,Kayastha,Digital Marketting B'lore,rural,Hindu,157,,92
P093,19,Male,B.Tech MBA,Kayastha,MNC-IT,urban,Christian,157,,93
P094,20,Male,LLB,OBC,IT,rural,Muslim,152,,94
P095,25,Male,BSc,Brahmin,Business,rural,Hindu,152,,95
P096,33,Male,MSC B.Ed,Brahmin,MNC-IT,urban,Others,162,,96
P097,19,Male,BA B.Ed,Brahmin,Pharma Co B'loe,rural,Hindu,152,,97
P098,24,Male,MA,Brahmin,IT,urban,Hindu,154,,98
P099,34,Female,MBA,Brahmin,Bank,rural,Muslim,152,,99
P100,21,Male,MA,General,15LPA,urban,Hindu,132,,100
P101,33,Male,BSc,OBC,MNC-IT,urban,Hindu,157,,101
P102,30,Female,MA,SC,Pharma Co B'loe,urban,Muslim,152,,102
P103,31,Female,MA B.Ed,Kayastha,Bank,rural,Others,157,,103
P104,30,Male,MBA,General,Digital Marketting B'lore,rural,Hindu,152,,104
P105,34,Male,MA,Kayastha,Advocate,rural,Hindu,132,,105
P106,36,Male,BA,Tambuli,IT,rural,Hindu,157,,106
P107,37,Female,BA,OBC,Law Firm,urban,Hindu,132,,107
P108,38,Female,MA B.Ed,Swarnakar,IT,rural,Muslim,154,,108
P109,28,Male,BA,Kayastha,MNC-IT,urban,Hindu,152,,109
P110,25,Female,MBA,Brahmin,Pharma Co B'loe,rural,Hindu,162,,110
P111,27,Male,MBA,SC,20LPA,urban,Muslim,162,,111
P112,23,Male,BSc,Brahmin,Pharma Co B'loe,urban,Christian,132,,112
P113,37,Male,B.Tech,SC,Digital Marketting B'lore,rural,Muslim,132,,113
P114,28,Male,BSc,SC,Pharma Co B'loe,rural,Muslim,157,,114
P115,34,Male,MA,Roy,MNC-IT,urban,Muslim,132,,115
P116,38,Male,MA,Kayastha,IT,rural,Hindu,157,,116
P117,33,Female,MA,Kayastha,Hospital Nurse,rural,Hindu,154,,117
P118,25,Female,MBA,General,IT,rural,Hindu,162,,118
P119,30,Female,BA,OBC,Researcg-Scholar-germany,urban,Hindu,162,,119
P120,28,Male,MBA,Kayastha,IT,rural,Muslim,154,,120
P121,38,Male,BA,Baisya,20LPA,urban,Muslim,162,,121
P122,31,Female,BA,OBC,IT,rural,Hindu,157,,122
P123,29,Male,MBA,Swarnakar,IT,rural,Hindu,154,,123
P124,19,Female,MA B.Ed,Brahmin,IT,urban,Muslim,154,,124
P125,24,Female,BA,Kayastha,Law Firm,urban,Hindu,154,,125
P126,26,Male,MA,Kayastha,MNC-IT,urban,Christian,162,,126
P127,19,Female,MSC B.Ed,Kayastha,15LPA,urban,Hindu,154,,127
P128,27,Male,MA,Baisya,Bank,rural,Christian,132,,128
P129,32,Male,B.Tech,Kayastha,IT,rural,Hindu,154,,129
P130,25,Male,MBA,Kayastha,Hospital Nurse,rural,Hindu,132,,130
P131,39,Female,BSc,Brahmin,IT,rural,Hindu,132,,131
P132,24,Male,B.Tech,Brahmin,College lecturer,rural,Hindu,152,,132
P133,25,Female,MA B.Ed,SC,Pharma Co B'loe,urban,Hindu,152,,133
P134,18,Female,B.Tech,Kayastha,IT,rural,Muslim,152,,134
P135,22,Male,MA B.Ed,Banerjee,College lecturer,urban,Muslim,152,,135
P136,30,Male,MA,OBC,MNC-IT,rural,Hindu,162,,136
P137,36,Male,MA,SC,Law Firm,rural,Hindu,162,,137
P138,21,Female,BA,Kayastha,Law Firm,rural,Muslim,157,,138
P139,37,Female,BSc,Kayastha,MNC-IT,urban,Others,162,,139
P140,39,Female,BSc,Baisya,MNC-IT,urban,Christian,152,,140
P141,38,Female,MA,Kayastha,Business,rural,Muslim,154,,141
P142,29,Male,Bcom,OBC,MNC-IT,rural,Muslim,162,,142
P143,19,Female,BA,General,Business,rural,Hindu,162,,143
P144,25,Female,MBA,SC,Advocate,urban,Hindu,162,,144
P145,20,Female,BA,OBC,Business,urban,Muslim,132,,145
P146,35,Female,LLM,Kayastha,IT,rural,Hindu,132,,146
P147,21,Male,MBA,Brahmin,15LPA,rural,Sikh,157,,147
P148,28,Female,MA,Kayastha,Bank,rural,Others,154,,148
P149,37,Male,MBA,Kayastha,Advocate,urban,Hindu,162,,149
P150,31,Female,MA B.Ed,Swarnakar,15LPA,rural,Christian,162,,150
P151,20,Male,MA,Kayastha,Pharma Co B'loe,rural,Others,157,,151
P152,26,Female,MA,Tili,IT,urban,Hindu,152,,152
P153,19,Female,MSC B.Ed,Brahmin,15LPA,urban,Hindu,154,,153
P154,27,Male,BSc,Brahmin,IT,urban,Muslim,162,,154
