Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Marital_Stability_Target
27.0,Secondary or below,Sales,Caste,Muslim,26.0,156.9,Secondary or below,Not working,Caste,Muslim,Rural,Haryana,1
50.0,Graduate (B.Tech/B.Sc/BA),Agricultural,Caste,Hindu,43.0,149.9,Secondary or below,Agricultural,Caste,Hindu,Rural,Maharashtra,0
45.0,Secondary or below,Clerical,Caste,Hindu,40.0,161.3,Secondary or below,Agricultural,Caste,Hindu,Rural,Andhra Pradesh,0
30.0,Secondary or below,Agricultural,Tribe,Hindu,27.0,141.2,Secondary or below,Agricultural,Tribe,Hindu,Rural,Meghalaya,1
45.0,Secondary or below,Services / household and domestic,Caste,Hindu,38.0,152.3,Secondary or below,Not working,Caste,Hindu,Rural,Karnataka,1
38.0,Secondary or below,Skilled and unskilled manual,Tribe,Muslim,35.0,150.6,Secondary or below,Not working,Caste,Muslim,Rural,West Bengal,1
44.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,154.2,Secondary or below,Not working,Caste,Hindu,Rural,Haryana,1
29.0,Secondary or below,Agricultural,Caste,Hindu,28.0,140.8,Secondary or below,Not working,Caste,Hindu,Rural,Uttar Pradesh,1
30.0,Secondary or below,Agricultural,Caste,Hindu,19.0,152.7,Secondary or below,Not working,Caste,Hindu,Rural,Assam,0
45.0,Secondary or below,Agricultural,Caste,Hindu,35.0,149.2,Secondary or below,Not working,Caste,Hindu,Rural,Telangana,1
38.0,Secondary or below,Skilled and unskilled manual,Tribe,Christian,33.0,157.6,Secondary or below,Agricultural,Tribe,Christian,Rural,Manipur,0
45.0,Secondary or below,Agricultural,Caste,Hindu,38.0,165.6,Secondary or below,Skilled and unskilled manual,Caste,Hindu,Rural,Karnataka,0
30.0,Secondary or below,Agricultural,Caste,Muslim,30.0,164.5,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,0
54.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,30.0,146.2,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
41.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,40.0,149.2,Secondary or below,Not working,Caste,Hindu,Urban,Jharkhand,0
38.0,Secondary or below,Not working,Tribe,Christian,32.0,148.1,Graduate (B.Tech/B.Sc/BA),Not working,Tribe,Christian,Urban,Mizoram,1
42.0,Secondary or below,Skilled and unskilled manual,Caste,Muslim,36.0,151.1,Secondary or below,Not working,No caste / tribe,Muslim,Urban,Assam,0
47.0,Secondary or below,Agricultural,Caste,Hindu,45.0,151.3,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,1
24.0,Secondary or below,Agricultural,Caste,Hindu,20.0,155.7,Secondary or below,Not working,Caste,Hindu,Rural,Madhya Pradesh,1
26.0,Secondary or below,Agricultural,Caste,Hindu,24.0,156.0,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,0
32.0,Secondary or below,Agricultural,Caste,Hindu,27.0,151.3,Secondary or below,Not working,Tribe,Hindu,Rural,Assam,0
39.0,Secondary or below,Agricultural,Caste,Hindu,30.0,150.7,Secondary or below,Agricultural,Caste,Hindu,Rural,Maharashtra,1
38.0,Secondary or below,Sales,Caste,Hindu,36.0,145.7,Secondary or below,Not working,Caste,Hindu,Rural,Assam,0
35.0,Secondary or below,Skilled and unskilled manual,No caste / tribe,Muslim,29.0,158.3,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Assam,0
33.0,Secondary or below,Agricultural,Tribe,Hindu,30.0,151.3,Secondary or below,Not working,Don't know,Hindu,Rural,Assam,0
29.0,Higher Secondary,Services / household and domestic,Caste,Hindu,23.0,145.3,Secondary or below,Not working,Caste,Hindu,Rural,Bihar,1
35.0,Secondary or below,Agricultural,Caste,Hindu,31.0,145.6,Secondary or below,Agricultural,Caste,Hindu,Rural,Madhya Pradesh,1
24.0,Secondary or below,Not working,No caste / tribe,Muslim,24.0,149.0,Higher Secondary,Not working,Caste,Muslim,Urban,Maharashtra,0
40.0,Higher Secondary,Skilled and unskilled manual,Caste,Hindu,34.0,161.4,Graduate (B.Tech/B.Sc/BA),Not working,Caste,Hindu,Urban,Kerala,1
30.0,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,27.0,150.4,Secondary or below,Skilled and unskilled manual,Tribe,Hindu,Rural,Madhya Pradesh,1
43.0,Secondary or below,Clerical,Caste,Hindu,38.0,146.9,Secondary or below,Not working,Caste,Hindu,Rural,Maharashtra,1
26.0,Secondary or below,Skilled and unskilled manual,Caste,Hindu,25.0,150.4,Higher Secondary,Not working,Caste,Hindu,Rural,Arunachal Pradesh,0
