Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Husband_partner_jealous_if_Wife_talks_with_other_men,Husband_partner_insists_on_knowing_where_Wife_is,Ever_been_humiliated_by_husband_partner,Ever_been_insulted_or_made_to_feel_bad_by_husband_partner,"Ever_been_pushed,_shook_or_had_something_thrown_by_husband_partner",Ever_been_slapped_by_husband_partner,Person_who_usually_decides_on_Wife's_health_care,Person_who_usually_decides_on_large_household_purchases,"Wife_afraid_of_husband_partner_most_of_the_time,_sometimes_or_never",Marital_Stability_Target
31,Higher Secondary,Services / household and domestic,Caste,Muslim,29,161.7,Secondary or below,Services / household and domestic,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
42,Secondary or below,Sales,Caste,Muslim,36,150.4,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,Yes,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
54,Secondary or below,Agricultural,Tribe,Muslim,48,158.2,Secondary or below,Not working,Tribe,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
38,Secondary or below,Agricultural,Caste,Muslim,39,156.8,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,0
39,Higher Secondary,Agricultural,Tribe,Muslim,31,154.8,Secondary or below,Not working,Tribe,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Husband/partner alone,Husband/partner alone,Never afraid,1
33,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Tribe,Muslim,32,159.8,Higher Secondary,Not working,Tribe,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
45,Secondary or below,Agricultural,Caste,Muslim,35,158.8,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
28,Higher Secondary,Skilled and unskilled manual,Caste,Muslim,26,152.8,Secondary or below,Not working,Tribe,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
34,Higher Secondary,Services / household and domestic,Caste,Muslim,32,139.9,Secondary or below,Services / household and domestic,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
29,Secondary or below,Skilled and unskilled manual,Caste,Muslim,32,163.1,Higher Secondary,Services / household and domestic,Caste,Muslim,Rural,Jammu & Kashmir,No,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Never afraid,0
33,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Muslim,29,159.7,Higher Secondary,Not working,Caste,Muslim,Rural,Jammu & Kashmir,Yes,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
37,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Muslim,33,160.2,Higher Secondary,Not working,Caste,Muslim,Rural,Jammu & Kashmir,Yes,No,Never,Never,Never,Never,Respondent and husband/partner,Respondent and husband/partner,Sometimes afraid,1
