Husband_age,Husband's Education Level,Husband Occupation_(grouped),Husband Ethnicity,Husband Religion,Wife's_current_age,Wife's height(centimeters),Wife's Education Level,Wife's_occupation_(grouped),Wife's Ethnicity,Wife's Religion,residence,State,Husband_partner_jealous_if_Wife_talks_with_other_men,Husband_partner_insists_on_knowing_where_Wife_is,Ever_been_humiliated_by_husband_partner,Ever_been_insulted_or_made_to_feel_bad_by_husband_partner,"Ever_been_pushed,_shook_or_had_something_thrown_by_husband_partner",Ever_been_slapped_by_husband_partner,Person_who_usually_decides_on_Wife's_health_care,Person_who_usually_decides_on_large_household_purchases,"Wife_afraid_of_husband_partner_most_of_the_time,_sometimes_or_never"
28,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Muslim,25,155.4,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Secondary or below,Skilled and unskilled manual,Caste,Muslim,30,156.5,Secondary or below,Skilled and unskilled manual,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Secondary or below,Agricultural,Caste,Muslim,35,158.5,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
50,Secondary or below,Sales,Caste,Muslim,49,157.0,Secondary or below,Services / household and domestic,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Higher Secondary,Sales,Caste,Muslim,33,157.4,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
36,Graduate (B.Tech/B.Sc/BA),Professional / technical / managerial,Caste,Muslim,33,163.6,Higher Secondary,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Graduate (B.Tech/B.Sc/BA),Skilled and unskilled manual,Caste,Muslim,43,161.7,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
40,Graduate (B.Tech/B.Sc/BA),Sales,Caste,Muslim,38,151.6,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
38,Higher Secondary,Skilled and unskilled manual,Caste,Muslim,36,159.4,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
30,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Muslim,29,158.7,Higher Secondary,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Secondary or below,Services / household and domestic,Caste,Muslim,33,161.2,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Respondent and husband/partner,
27,Secondary or below,Agricultural,Caste,Muslim,23,150.7,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
42,Higher Secondary,Other,Caste,Muslim,40,152.2,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
26,Secondary or below,Skilled and unskilled manual,Caste,Muslim,19,156.1,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
27,Secondary or below,Agricultural,Caste,Muslim,25,149.6,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
37,Higher Secondary,Sales,Caste,Muslim,35,159.9,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
47,Secondary or below,Skilled and unskilled manual,Caste,Muslim,49,145.9,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Husband/partner alone,
36,Higher Secondary,Skilled and unskilled manual,Caste,Muslim,25,160.3,Secondary or below,Not working,Caste,Muslim,Urban,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
41,Secondary or below,Professional / technical / managerial,Caste,Muslim,38,155.7,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Husband/partner alone,
30,Higher Secondary,Sales,Caste,Muslim,28,151.4,Secondary or below,Sales,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
43,Secondary or below,Agricultural,No caste / tribe,Muslim,41,158.3,Secondary or below,Agricultural,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
45,Secondary or below,Skilled and unskilled manual,Caste,Muslim,43,159.8,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
32,Secondary or below,Skilled and unskilled manual,Caste,Muslim,30,158.6,Secondary or below,Skilled and unskilled manual,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
34,Secondary or below,Agricultural,Caste,Muslim,32,160.3,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
49,Secondary or below,Skilled and unskilled manual,Caste,Muslim,47,156.0,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
48,Secondary or below,Agricultural,Caste,Muslim,46,159.7,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Husband/partner alone,
35,Secondary or below,Skilled and unskilled manual,Caste,Muslim,35,158.9,Secondary or below,Services / household and domestic,No caste / tribe,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
35,Higher Secondary,Agricultural,No caste / tribe,Muslim,33,100.4,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,,,,,,,Respondent and husband/partner,Respondent and husband/partner,
48,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Muslim,45,158.3,Secondary or below,Clerical,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
51,Secondary or below,Agricultural,Caste,Muslim,48,157.3,Secondary or below,Not working,No caste / tribe,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
15,Secondary or below,Agricultural,Caste,Muslim,48,161.4,Secondary or below,Skilled and unskilled manual,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
44,Post-Graduate (MBA/MA),Professional / technical / managerial,Caste,Muslim,42,160.3,Higher Secondary,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
28,Graduate (B.Tech/B.Sc/BA),Services / household and domestic,Caste,Muslim,25,155.0,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
28,Secondary or below,Skilled and unskilled manual,Caste,Muslim,25,157.1,Secondary or below,Not working,Caste,Muslim,Rural,Jammu & Kashmir,,,,,,,Husband/partner alone,Husband/partner alone,
