Age_at_Marriage,Gender,Education_Level,Caste_Match,Religion,Urban_Rural,Income_Level,Inter-Caste,Inter-Religion,Compatibility
23,Male,Graduate,Different,Hindu,Urban,Middle,No,No,0
28,Female,School,Same,Hindu,Rural,Middle,No,Yes,0
39,Male,Postgraduate,Same,Muslim,Rural,High,No,No,1
26,Female,School,Different,Hindu,Urban,High,Yes,No,0
32,Female,Graduate,Same,Hindu,Rural,Middle,No,Yes,1
37,Female,School,Different,Hindu,Urban,Low,No,No,1
24,Male,Graduate,Different,Hindu,Rural,Middle,No,No,1
18,Male,Postgraduate,Same,Sikh,Rural,Middle,Yes,No,1
22,Female,Postgraduate,Same,Christian,Rural,Low,No,Yes,1
24,Male,School,Same,Hindu,Urban,High,Yes,No,1
19,Male,School,Same,Hindu,Urban,Middle,Yes,No,0
31,Female,School,Same,Hindu,Rural,Middle,Yes,No,1
22,Female,Graduate,Same,Hindu,Urban,Middle,Yes,No,1
34,Female,School,Different,Hindu,Rural,Low,No,No,1
39,Male,PhD,Same,Others,Urban,High,No,No,1
19,Female,PhD,Different,Christian,Rural,Middle,No,No,1
20,Female,Postgraduate,Same,Hindu,Urban,Low,Yes,No,1
27,Male,Graduate,Same,Hindu,Rural,Middle,No,No,1
39,Female,Graduate,Same,Hindu,Urban,Middle,No,No,0
34,Male,School,Same,Hindu,Urban,Middle,No,No,1
35,Male,Graduate,Same,Hindu,Urban,Low,Yes,No,1
24,Male,School,Same,Hindu,Urban,Low,No,No,1
27,Male,Graduate,Same,Hindu,Rural,Middle,No,No,1
36,Female,Postgraduate,Same,Hindu,Urban,Middle,Yes,No,1
21,Male,School,Different,Hindu,Rural,Middle,No,No,0
36,Male,School,Same,Hindu,Urban,Middle,No,No,1
31,Male,Graduate,Different,Hindu,Urban,Low,No,No,1
34,Female,PhD,Same,Hindu,Urban,High,Yes,No,0
27,Male,School,Same,Hindu,Urban,Low,No,No,1
34,Female,Graduate,Same,Christian,Urban,Low,No,Yes,1
29,Male,School,Different,Hindu,Urban,Low,Yes,No,0
35,Male,PhD,Same,Christian,Rural,Middle,Yes,No,0
21,Female,School,Different,Hindu,Rural,Low,No,No,0
21,Female,Postgraduate,Same,Sikh,Urban,High,Yes,No,1
22,Male,School,Same,Hindu,Urban,Low,No,No,0
23,Male,Postgraduate,Different,Christian,Urban,Low,Yes,No,1
31,Female,Postgraduate,Same,Sikh,Rural,Low,No,No,1
28,Female,Graduate,Same,Muslim,Rural,Middle,No,No,1
30,Female,Postgraduate,Different,Hindu,Rural,High,No,No,1
23,Female,School,Same,Christian,Urban,Low,No,No,1
34,Male,Postgraduate,Same,Hindu,Urban,High,Yes,No,1
35,Female,School,Different,Muslim,Rural,Middle,No,Yes,1
37,Male,PhD,Same,Christian,Rural,Middle,No,No,1
32,Male,Graduate,Same,Muslim,Rural,Low,No,No,1
37,Female,School,Same,Others,Urban,Middle,No,No,1
39,Male,School,Same,Hindu,Rural,Middle,No,No,1
20,Female,Graduate,Different,Hindu,Urban,Middle,No,Yes,0
23,Male,Postgraduate,Same,Hindu,Rural,Middle,No,No,1
20,Male,School,Same,Muslim,Urban,Low,No,No,1
19,Male,School,Same,Hindu,Urban,Middle,No,No,1
30,Male,Graduate,Different,Hindu,Rural,Middle,No,No,1
28,Female,PhD,Same,Sikh,Urban,Middle,Yes,No,1
25,Female,Graduate,Same,Others,Urban,Middle,Yes,Yes,0
31,Female,PhD,Same,Hindu,Rural,High,Yes,No,0
28,Female,Graduate,Same,Hindu,Urban,Low,No,No,1
33,Male,Graduate,Same,Hindu,Urban,High,No,No,1
27,Female,Graduate,Same,Hindu,Rural,Middle,No,No,1
24,Male,Graduate,Same,Hindu,Urban,Low,No,No,1
18,Female,School,Different,Others,Urban,Middle,No,No,1
22,Male,Graduate,Same,Sikh,Urban,Low,Yes,No,1
24,Female,Graduate,Same,Sikh,Urban,Middle,No,No,1
36,Male,Postgraduate,Different,Muslim,Rural,Middle,No,No,1
28,Female,Graduate,Same,Hindu,Rural,Middle,No,No,1
24,Male,Graduate,Same,Hindu,Rural,High,Yes,Yes,1
37,Male,School,Same,Hindu,Rural,Middle,No,No,0
22,Female,School,Same,Hindu,Urban,Low,No,No,1
24,Female,Graduate,Same,Hindu,Urban,High,No,No,1
36,Male,Graduate,Same,Hindu,Rural,High,No,No,0
36,Female,Graduate,Same,Sikh,Urban,Middle,No,No,1
28,Male,Graduate,Same,Others,Urban,Middle,No,Yes,0
38,Female,School,Same,Hindu,Rural,Low,Yes,Yes,1
22,Female,Graduate,Same,Hindu,Rural,High,No,No,1
23,Male,School,Same,Others,Urban,Middle,No,No,1
32,Female,PhD,Same,Hindu,Urban,Low,No,No,1
21,Female,School,Same,Hindu,Urban,Middle,No,No,1
25,Male,Postgraduate,Same,Muslim,Urban,Middle,No,No,1
26,Female,School,Same,Muslim,Rural,Low,No,No,0
24,Female,Postgraduate,Same,Hindu,Urban,Low,No,No,1
32,Male,Graduate,Same,Hindu,Urban,Middle,No,No,1
23,Male,Graduate,Different,Hindu,Urban,Low,No,No,1
35,Female,School,Different,Muslim,Urban,Middle,No,Yes,1
28,Female,Postgraduate,Same,Christian,Urban,Low,No,No,1
31,Female,School,Same,Hindu,Urban,Middle,No,No,1
26,Male,Graduate,Same,Hindu,Rural,High,Yes,No,1
34,Male,School,Different,Muslim,Urban,Middle,Yes,No,1
32,Female,School,Same,Others,Rural,Middle,No,No,0
22,Female,Graduate,Same,Christian,Rural,Middle,No,No,1
34,Female,Graduate,Different,Hindu,Rural,High,No,No,1
33,Female,Graduate,Same,Sikh,Rural,Low,No,No,1
