,Age_at_Marriage,Gender,Education_Level,Caste_Match,Religion,Urban_Rural,Marital_Satisfaction,Divorce_Status,Income_Level,Spouse_Working,Inter-Caste,Inter-Religion
0,23,Male,Graduate,Different,Hindu,Urban,Medium,Yes,Middle,No,No,No
1,28,Female,School,Same,Hindu,Rural,Low,No,Middle,No,No,Yes
2,39,Male,Postgraduate,Same,Muslim,Rural,Medium,No,High,No,No,No
3,26,Female,School,Different,Hindu,Urban,Low,No,High,No,Yes,No
4,32,Female,Graduate,Same,Hindu,Rural,Medium,No,Middle,No,No,Yes
5,37,Female,School,Different,Hindu,Urban,High,No,Low,No,No,No
6,24,Male,Graduate,Different,Hindu,Rural,Medium,No,Middle,No,No,No
7,18,Male,Postgraduate,Same,Sikh,Rural,Medium,No,Middle,No,Yes,No
8,22,Female,Postgraduate,Same,Christian,Rural,High,No,Low,No,No,Yes
9,24,Male,School,Same,Hindu,Urban,Medium,No,High,No,Yes,No
10,19,Male,School,Same,Hindu,Urban,Medium,Yes,Middle,No,Yes,No
11,31,Female,School,Same,Hindu,Rural,Medium,No,Middle,Yes,Yes,No
12,22,Female,Graduate,Same,Hindu,Urban,Medium,No,Middle,Yes,Yes,No
13,34,Female,School,Different,Hindu,Rural,Medium,No,Low,Yes,No,No
14,39,Male,PhD,Same,Others,Urban,Medium,No,High,Yes,No,No
15,19,Female,PhD,Different,Christian,Rural,Medium,No,Middle,Yes,No,No
16,20,Female,Postgraduate,Same,Hindu,Urban,Medium,No,Low,Yes,Yes,No
17,27,Male,Graduate,Same,Hindu,Rural,Medium,No,Middle,No,No,No
18,39,Female,Graduate,Same,Hindu,Urban,Low,No,Middle,No,No,No
19,34,Male,School,Same,Hindu,Urban,Medium,No,Middle,No,No,No
20,35,Male,Graduate,Same,Hindu,Urban,High,No,Low,Yes,Yes,No
21,24,Male,School,Same,Hindu,Urban,Medium,No,Low,Yes,No,No
22,27,Male,Graduate,Same,Hindu,Rural,High,No,Middle,Yes,No,No
23,36,Female,Postgraduate,Same,Hindu,Urban,Medium,No,Middle,No,Yes,No
24,21,Male,School,Different,Hindu,Rural,Low,No,Middle,No,No,No
25,36,Male,School,Same,Hindu,Urban,High,No,Middle,Yes,No,No
26,31,Male,Graduate,Different,Hindu,Urban,Medium,No,Low,No,No,No
27,34,Female,PhD,Same,Hindu,Urban,Low,No,High,No,Yes,No
28,27,Male,School,Same,Hindu,Urban,Medium,No,Low,No,No,No
29,34,Female,Graduate,Same,Christian,Urban,Medium,No,Low,No,No,Yes
30,29,Male,School,Different,Hindu,Urban,Low,No,Low,No,Yes,No
31,35,Male,PhD,Same,Christian,Rural,Low,No,Middle,Yes,Yes,No
32,21,Female,School,Different,Hindu,Rural,Low,No,Low,Yes,No,No
33,21,Female,Postgraduate,Same,Sikh,Urban,Medium,No,High,Yes,Yes,No
34,22,Male,School,Same,Hindu,Urban,Low,No,Low,No,No,No
35,23,Male,Postgraduate,Different,Christian,Urban,Medium,No,Low,Yes,Yes,No
36,31,Female,Postgraduate,Same,Sikh,Rural,High,No,Low,Yes,No,No
37,28,Female,Graduate,Same,Muslim,Rural,Medium,No,Middle,Yes,No,No
38,30,Female,Postgraduate,Different,Hindu,Rural,Medium,No,High,No,No,No
39,23,Female,School,Same,Christian,Urban,Medium,No,Low,No,No,No
40,34,Male,Postgraduate,Same,Hindu,Urban,Medium,No,High,No,Yes,No
41,35,Female,School,Different,Muslim,Rural,High,No,Middle,No,No,Yes
42,37,Male,PhD,Same,Christian,Rural,High,No,Middle,No,No,No
43,32,Male,Graduate,Same,Muslim,Rural,Medium,No,Low,Yes,No,No
44,37,Female,School,Same,Others,Urban,High,No,Middle,No,No,No
45,39,Male,School,Same,Hindu,Rural,High,No,Middle,No,No,No
46,20,Female,Graduate,Different,Hindu,Urban,Low,No,Middle,Yes,No,Yes
47,23,Male,Postgraduate,Same,Hindu,Rural,High,No,Middle,No,No,No
48,20,Male,School,Same,Muslim,Urban,High,No,Low,Yes,No,No
49,19,Male,School,Same,Hindu,Urban,Medium,No,Middle,No,No,No
50,30,Male,Graduate,Different,Hindu,Rural,High,No,Middle,Yes,No,No
51,28,Female,PhD,Same,Sikh,Urban,High,No,Middle,No,Yes,No
52,25,Female,Graduate,Same,Others,Urban,Medium,Yes,Middle,No,Yes,Yes
53,31,Female,PhD,Same,Hindu,Rural,Low,No,High,No,Yes,No
54,28,Female,Graduate,Same,Hindu,Urban,Medium,No,Low,No,No,No
55,33,Male,Graduate,Same,Hindu,Urban,Medium,No,High,No,No,No
56,27,Female,Graduate,Same,Hindu,Rural,Medium,No,Middle,No,No,No
57,24,Male,Graduate,Same,Hindu,Urban,High,No,Low,Yes,No,No
58,18,Female,School,Different,Others,Urban,High,No,Middle,Yes,No,No
59,22,Male,Graduate,Same,Sikh,Urban,Medium,No,Low,Yes,Yes,No
60,24,Female,Graduate,Same,Sikh,Urban,Medium,No,Middle,No,No,No
61,36,Male,Postgraduate,Different,Muslim,Rural,Medium,No,Middle,No,No,No
62,28,Female,Graduate,Same,Hindu,Rural,Medium,No,Middle,No,No,No
63,24,Male,Graduate,Same,Hindu,Rural,High,No,High,No,Yes,Yes
64,37,Male,School,Same,Hindu,Rural,Low,No,Middle,No,No,No
65,22,Female,School,Same,Hindu,Urban,Medium,No,Low,No,No,No
66,24,Female,Graduate,Same,Hindu,Urban,Medium,No,High,No,No,No
67,36,Male,Graduate,Same,Hindu,Rural,Low,No,High,Yes,No,No
68,36,Female,Graduate,Same,Sikh,Urban,High,No,Middle,No,No,No
69,28,Male,Graduate,Same,Others,Urban,Medium,Yes,Middle,Yes,No,Yes
70,38,Female,School,Same,Hindu,Rural,High,No,Low,No,Yes,Yes
71,22,Female,Graduate,Same,Hindu,Rural,Medium,No,High,No,No,No
72,23,Male,School,Same,Others,Urban,High,No,Middle,Yes,No,No
73,32,Female,PhD,Same,Hindu,Urban,Medium,No,Low,No,No,No
74,21,Female,School,Same,Hindu,Urban,High,No,Middle,No,No,No
75,25,Male,Postgraduate,Same,Muslim,Urban,Medium,No,Middle,No,No,No
76,26,Female,School,Same,Muslim,Rural,Low,No,Low,Yes,No,No
77,24,Female,Postgraduate,Same,Hindu,Urban,Medium,No,Low,No,No,No
78,32,Male,Graduate,Same,Hindu,Urban,High,No,Middle,No,No,No
79,23,Male,Graduate,Different,Hindu,Urban,Medium,No,Low,No,No,No
80,35,Female,School,Different,Muslim,Urban,Medium,No,Middle,Yes,No,Yes
81,28,Female,Postgraduate,Same,Christian,Urban,Medium,No,Low,No,No,No
82,31,Female,School,Same,Hindu,Urban,High,No,Middle,No,No,No
83,26,Male,Graduate,Same,Hindu,Rural,Medium,No,High,Yes,Yes,No
84,34,Male,School,Different,Muslim,Urban,High,No,Middle,Yes,Yes,No
85,32,Female,School,Same,Others,Rural,Low,No,Middle,No,No,No
86,22,Female,Graduate,Same,Christian,Rural,Medium,No,Middle,Yes,No,No
87,34,Female,Graduate,Different,Hindu,Rural,High,No,High,Yes,No,No
88,33,Female,Graduate,Same,Sikh,Rural,Medium,No,Low,No,No,No
89,28,Male,Graduate,Same,Christian,Rural,Low,No,Low,Yes,No,No
90,26,Male,School,Different,Muslim,Urban,Medium,No,Middle,No,No,No
91,39,Male,PhD,Same,Hindu,Urban,High,No,Low,Yes,Yes,No
92,19,Female,School,Same,Hindu,Urban,Medium,No,High,No,No,No
93,29,Female,PhD,Same,Muslim,Urban,Medium,Yes,Middle,No,No,No
94,19,Female,PhD,Same,Hindu,Rural,High,No,Low,Yes,Yes,No
95,18,Female,School,Same,Muslim,Urban,Medium,No,Middle,Yes,No,No
96,38,Female,School,Different,Hindu,Rural,Low,Yes,Middle,Yes,No,No
