iter	MultiClass
0	1.776027933
1	1.75832216
2	1.748633176
3	1.73451591
4	1.723732885
5	1.709700809
6	1.700996889
7	1.689092353
8	1.688969155
9	1.686214105
10	1.683449464
11	1.676913286
12	1.670278644
13	1.665489624
14	1.655484421
15	1.655328321
16	1.650047301
17	1.646901924
18	1.646794047
19	1.636391434
20	1.627925396
21	1.621623042
22	1.6102995
23	1.601763527
24	1.595179578
25	1.593664381
26	1.587576669
27	1.576874232
28	1.573314542
29	1.567968236
30	1.564119727
31	1.560546551
32	1.558718797
33	1.553943995
34	1.549818005
35	1.541202693
36	1.536781094
37	1.533215729
38	1.528302682
39	1.52621997
40	1.520783109
41	1.518963058
42	1.51617531
43	1.512489125
44	1.507788608
45	1.499607883
46	1.498665667
47	1.495590218
48	1.495376829
49	1.493999058
50	1.487751854
51	1.486511848
52	1.477689666
53	1.475878367
54	1.470207581
55	1.468445649
56	1.466378381
57	1.464792217
58	1.461925814
59	1.459104651
60	1.457156717
61	1.45409762
62	1.454055633
63	1.453912153
64	1.451852817
65	1.439872086
66	1.43984832
67	1.436398928
68	1.435373466
69	1.428979653
70	1.428405552
71	1.420851974
72	1.41951995
73	1.418858048
74	1.410329357
75	1.408783146
76	1.40878176
77	1.408710142
78	1.406547045
79	1.4051216
80	1.403729128
81	1.401779554
82	1.400573696
83	1.400555405
84	1.398698672
85	1.394669781
86	1.393099094
87	1.391580682
88	1.391514675
89	1.391290533
90	1.389736136
91	1.389055002
92	1.385841058
93	1.384220597
94	1.382286211
95	1.381684598
96	1.380545606
97	1.379258223
98	1.377763984
99	1.377442311
100	1.371937177
101	1.371150875
102	1.370692308
103	1.362600214
104	1.362066369
105	1.36186105
106	1.361599643
107	1.360843316
108	1.360842717
109	1.360159611
110	1.35958297
111	1.359391885
112	1.359174082
113	1.359171142
114	1.358780509
115	1.358780108
116	1.357552401
117	1.355014315
118	1.353762774
119	1.352032693
120	1.351398137
121	1.350871113
122	1.35086973
123	1.349627389
124	1.345758064
125	1.344986422
126	1.344077325
127	1.34391777
128	1.343762119
129	1.343125891
130	1.337659159
131	1.337057369
132	1.335411783
133	1.332745241
