iter	Passed	Remaining
0	1786	5358224
1	3513	5267430
2	5107	5102534
3	7566	5667138
4	9768	5851615
5	12190	6083080
6	15104	6458294
7	17177	6424388
8	18891	6278292
9	20987	6275195
10	22796	6194473
11	24742	6160874
12	26456	6078787
13	28180	6010456
14	30119	5993850
15	32067	5980553
16	34094	5982622
17	36579	6060047
18	39670	6224123
19	42199	6287688
20	44530	6316947
21	46502	6294723
22	48140	6231078
23	49711	6164188
24	51390	6115417
25	53181	6083110
26	55327	6092190
27	57447	6097618
28	59268	6071983
29	59394	5880029
30	60888	5831510
31	62280	5776526
32	62353	5606127
33	63971	5580587
34	65355	5536540
35	65380	5382984
36	66829	5351796
37	68414	5332713
38	69925	5308963
39	71457	5287884
40	72928	5263270
41	74517	5248159
42	76353	5250632
43	77942	5236335
44	77968	5119930
45	79397	5098718
46	80688	5069662
47	81918	5037965
48	81964	4936281
49	83279	4913499
50	84571	4890208
51	85908	4870353
52	87186	4847924
53	88600	4833649
54	89961	4817045
55	91299	4799759
56	92640	4783170
57	92726	4703470
58	94173	4694288
59	95488	4678918
60	96480	4648446
61	97953	4641745
62	99299	4629233
63	100668	4618188
64	102066	4608678
65	104073	4626536
66	107174	4691704
67	108950	4697676
68	110539	4695544
69	112089	4691747
70	113298	4673961
71	115065	4679322
72	116192	4658826
73	117802	4657989
74	119400	4656637
75	121222	4663873
76	121293	4604444
77	123521	4627315
78	124874	4617177
79	126269	4608839
80	127283	4586925
81	128264	4564331
82	129893	4565064
83	131287	4557548
84	132868	4556600
85	133062	4508662
86	133405	4466787
87	134919	4464606
88	136284	4457568
89	137596	4448952
90	137621	4399343
91	137871	4357922
92	137928	4311389
93	139477	4311917
94	140862	4307416
95	143285	4334388
96	144647	4328987
97	146063	4325255
98	147080	4309889
99	148442	4304825
100	149783	4299221
101	151043	4291409
102	152491	4289014
103	154080	4290562
104	155162	4278047
105	156542	4273908
106	158082	4274148
107	159411	4268675
108	160422	4254871
109	161834	4251836
110	162999	4242397
111	164334	4237474
112	165731	4234230
113	166739	4221144
114	168091	4216916
115	169690	4218862
116	171142	4217118
117	172324	4208811
118	173568	4202098
119	174799	4195192
120	175825	4183495
121	177174	4179569
122	178518	4175582
123	178543	4141053
124	178572	4107169
125	180003	4105794
126	181547	4106975
127	183107	4108484
128	184482	4105807
129	185655	4098706
130	187071	4097011
131	188369	4092752
132	189612	4087358
133	190897	4082918
134	191932	4073239
135	191991	4043113
136	193419	4042048
137	194671	4037309
138	195952	4033229
139	195977	4003547
140	197545	4005556
141	198804	4001290
142	200063	3997071
143	200111	3968877
144	201743	3972258
145	201816	3945107
146	203344	3946549
147	204961	3949663
148	206364	3948622
149	207950	3951066
150	209205	3947191
151	210367	3941620
152	211870	3942444
153	213097	3938154
154	214421	3935676
155	215801	3934233
156	216827	3926375
157	217862	3918770
158	219556	3923023
159	219640	3898614
160	219666	3873499
161	221160	3874403
162	222844	3878580
163	223215	3859998
164	224631	3859583
165	226236	3862370
166	227710	3862900
167	228950	3859459
168	229964	3852238
169	231318	3850769
170	231365	3827675
171	232520	3823077
172	233892	3822050
173	235256	3820882
174	236891	3824104
175	237922	3817571
176	239360	3817596
177	240845	3818353
178	242226	3817437
179	242252	3795283
180	243408	3790992
181	244437	3784757
182	246062	3787743
183	246086	3766193
184	247438	3765070
185	248559	3760460
186	249757	3757045
187	249783	3736123
188	251282	3737325
189	251470	3719111
190	251496	3698715
191	253235	3703569
192	254720	3704666
193	256098	3704184
194	256127	3684297
195	257313	3681163
196	258757	3681707
197	260334	3684121
198	261965	3687265
199	263457	3688402
200	265004	3690292
201	265070	3671624
202	265231	3654446
203	265342	3636749
204	267257	3643833
205	267539	3628671
206	269544	3636898
207	269594	3618790
208	271833	3630085
209	273574	3634634
210	275286	3638745
211	277120	3644400
212	279045	3651167
213	281211	3661008
214	283049	3666479
215	284731	3669867
216	286266	3671338
217	287760	3672250
218	288947	3669236
219	290448	3670208
220	291786	3669114
221	291831	3651834
222	293335	3652877
223	294863	3654201
224	294964	3637897
225	296363	3637659
226	298059	3641053
227	299475	3640989
228	300731	3638977
229	301822	3634989
230	303464	3637627
231	304815	3636758
232	306122	3635365
233	307188	3631130
234	307218	3614719
235	308681	3615239
236	308781	3599845
237	310211	3600019
238	310283	3584493
239	311756	3585194
240	313121	3584652
241	314700	3586544
242	314781	3571407
243	316323	3572903
244	318181	3577924
245	319255	3574101
246	320654	3573930
247	322032	3573516
248	322077	3558370
249	323511	3558630
250	325021	3559699
251	325044	3544537
252	326342	3543327
