PreferenceID,Age,Gender,Education,Caste,Profession,Residence,Religion,Height_cm,Extras,userID
P001,24,Female,B.com,Kayastha,Professor,rural,Hindu,162,,1
P002,18,Male,MA,Kayastha,B.Tech 10LPA,rural,Hindu,152,,2
P003,26,Female,MBA,Brahmin,Business,urban,Hindu,132,,3
P004,23,Male,MA,Sunni,MNC-IT,urban,Hindu,132,,4
P005,22,Male,MBA,Kayastha,Bank,rural,Hindu,154,,5
P006,37,Male,B.Tech,Kayastha,B.Tech MBA Pvt 10LPA,urban,Hindu,132,,6
P007,24,Female,B.Tech,Kayastha,MNC-IT,urban,Hindu,152,,7
P008,20,Female,B.Tech MBA,Brahmin,MNC 9LPA,rural,Hindu,132,,8
P009,32,Male,MA,Kayastha,Govt job,rural,Hindu,154,,9
P010,18,Female,MSC B.Ed,Mahishya,IT Engineer(U.K.),rural,Hindu,132,,10
P011,21,Female,MBA,SC,MNC-IT,urban,Hindu,132,,11
P012,33,Male,LLB,Baisya,Bank,urban,Hindu,157,,12
P013,25,Male,IIT,Kayastha,B.Tech 15LPA,urban,Hindu,157,,13
P014,24,Male,B.Tech,Tili,Law Firm,urban,Hindu,132,,14
P015,22,Female,MBA,SC,MBA 35LPA,rural,Hindu,162,,15
P016,31,Male,MBA,Brahmin,Bank,urban,Hindu,162,,16
P017,19,Male,MBA,Kayastha,MNC,rural,Hindu,152,,17
P018,22,Female,B.Tech,SC,MBA 35LPA,urban,Hindu,132,,18
P019,20,Male,MBA,SC,MNC-IT,urban,Hindu,157,,19
P020,38,Female,B.Tech,Sunni,MNC 18LPA,urban,Christian,162,,20
P021,34,Female,MA B.Ed,Namasudra,IT,rural,Hindu,132,,21
P022,30,Female,IIT,Kayastha,Bank Manager,rural,Hindu,132,,22
P023,31,Female,MBA,Sunni,Pharma Co B'loe,urban,Hindu,152,,23
P024,31,Male,M.Tech,Kayastha,Business,rural,Hindu,157,,24
P025,33,Female,B.Tech,Kayastha,Working at Indian Oil 14LPA,rural,Hindu,154,,25
P026,34,Female,MSC B.Ed,Kayastha,B.Tech 10LPA,rural,Hindu,152,,26
P027,22,Female,MA,Mahishya,Pharma Co B'loe,rural,Hindu,152,,27
P028,23,Male,B.Tech,Brahmin,M.Teach 14LPA,urban,Hindu,154,,28
P029,22,Female,MA B.Ed,Sadgop,Bank,urban,Hindu,154,,29
P030,25,Male,MBBS,Kayastha,B.Tech 15LPA,urban,Sikh,132,,30
P031,27,Female,MBA,Kayastha,B.Tech 10LPA,rural,Hindu,157,,31
P032,20,Female,MBA,SC,MNC-IT,rural,Hindu,157,,32
P033,39,Male,LLB,Brahmin,IT,urban,Hindu,152,,33
P034,32,Male,B.Tech,Brahmin,MNC-IT,urban,Hindu,157,,34
P035,22,Female,B.Tech,Kayastha,IT,rural,Hindu,132,,35
P036,23,Female,IIT,Kayastha,IT,urban,Hindu,157,,36
P037,29,Male,MSC B.Ed,Brahmin,Railway Asst. Engineer,rural,Hindu,162,,37
P038,27,Male,BSc,Namasudra,Asst Professor,urban,Hindu,152,,38
P039,39,Male,MSC B.Ed,Yadav,Working IN U.S.,urban,Hindu,162,,39
P040,36,Male,B.Tech MBA,Sunni,MNC-IT,rural,Hindu,162,,40
P041,29,Female,B.Tech MBA,SC,IT Engineer(U.K.),rural,Hindu,162,,41
P042,29,Male,B.Tech MBA,SC,Business,urban,Hindu,154,,42
P043,38,Female,B.Tech,Namasudra,IT,rural,Hindu,162,,43
P044,21,Female,MBA,Kayastha,Asst Professor in Govt College,urban,Hindu,157,,44
P045,33,Male,MBA,Kayastha,Railway Asst. Engineer,rural,Hindu,157,,45
P046,30,Female,B.Tech,Kayastha,MBA-10LPA,urban,Hindu,154,,46
P047,22,Male,B.Tech MBA,General,Asst Professor in Govt College,rural,Sikh,157,,47
P048,18,Female,MA,Banerjee,MNC-IT,urban,Hindu,154,,48
P049,22,Female,BA B.Ed,Mukherjee,MNC,rural,Hindu,157,,49
P050,22,Female,"M.Tech,PHD",Kayastha,IT,urban,Hindu,152,,50
P051,24,Female,B.Tech,Karmakar,Business,rural,Hindu,162,,51
P052,34,Male,BSc,Kayastha,MBA 35LPA,rural,Hindu,132,,52
P053,26,Male,IIT,Banerjee,MNC-IT,rural,Christian,132,,53
P054,39,Male,IIT,Kayastha,Officer in Central Govt.,urban,Hindu,157,,54
P055,35,Male,MBA,Brahmin,Business,rural,Hindu,162,,55
P056,29,Female,MSC B.Ed,Yadav,MNC-IT,rural,Hindu,132,,56
P057,23,Male,IIT,Brahmin,Researcg-Scholar-germany,urban,Hindu,162,,57
P058,23,Female,MA,Namasudra,Pharma Co B'loe,urban,Hindu,157,,58
P059,24,Male,MA,Brahmin,Law Firm,rural,Hindu,157,,59
P060,22,Female,B.Tech,Mahishya,Asst Professor in Govt College,urban,Hindu,154,,60
P061,33,Male,BA,Baisya,MNC,rural,Hindu,157,,61
P062,21,Female,MA,Kayastha,Project Manager at IBM-35LPA,urban,Hindu,132,,62
P063,37,Male,MA B.Ed,Brahmin,Researcg-Scholar-germany,rural,Hindu,154,,63
P064,36,Female,MA,Kayastha,B.Tech 10LPA,urban,Hindu,162,,64
P065,35,Female,B.Tech,Sunni,Business,rural,Sikh,154,,65
P066,19,Male,B.Tech,Baisya,Pharma Co B'loe,rural,Hindu,162,,66
P067,23,Male,BA,Tili,Law Firm,rural,Hindu,157,,67
P068,35,Female,MSC B.Ed,Brahmin,MNC,rural,Hindu,152,,68
P069,25,Male,B.Tech,Brahmin,Govt job,urban,Hindu,162,,69
P070,26,Female,B.Tech,Kayastha,Law Firm,urban,Hindu,157,,70
P071,32,Male,MBA,Kayastha,Railway Asst. Engineer,rural,Hindu,132,,71
P072,30,Male,MSC B.Ed,Brahmin,MNC,rural,Hindu,157,,72
P073,24,Female,"M.Tech,PHD",Napit,Railway Asst. Engineer,rural,Hindu,162,,73
P074,37,Male,"M.Tech,PHD",Namasudra,B.Tech 10LPA,rural,Hindu,154,,74
