UserID,Age,Genedr,Education,Caste,Profession,Religion,residence,Height_cm,Extras,PreferenceID
U001,23,Male,MBA,General,Digital Marketting B'lore,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P001
U002,28,Female,MBA,Sunni,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P002
U003,39,Male,MA B.Ed,Kayastha,Hospital Nurse,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P003
U004,26,Female,BA,Brahmin,20LPA,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P004
U005,32,Female,B.Tech,Kumbhakar,MNC-IT,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P005
U006,37,Female,Bcom,Kayastha,15LPA,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P006
U007,24,Male,MA B.Ed,Brahmin,Bank,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P007
U008,18,Male,MBA,General,IT,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P008
U009,22,Female,B.Tech,Tili,Digital Marketting B'lore,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P009
U010,24,Male,MBA,Baisya,Law Firm,Sikh,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P010
U011,19,Male,MA B.Ed,Kayastha,15LPA,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P011
U012,31,Female,BA B.Ed,Kayastha,Bank,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P012
U013,22,Female,BA,General,12LPA,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P013
U014,34,Female,B.Tech MBA,Brahmin,Bank,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P014
U015,39,Male,MBA,General,Researcg-Scholar-germany,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P015
U016,19,Female,MA,Kayastha,Law Firm,Hindu,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P016
U017,20,Female,B.Tech,General,Pharma Co B'loe,Christian,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P017
U018,27,Male,B.Tech MBA,Kayastha,MNC-IT,Muslim,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P018
U019,39,Female,MA,General,Digital Marketting B'lore,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P019
U020,34,Male,BSc,Sunni,Advocate,Christian,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P020
U021,35,Male,LLB,Brahmin,College lecturer,Muslim,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P021
U022,24,Male,MSC B.Ed,Kayastha,Business,Hindu,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""Yes""}",P022
U023,27,Male,BSc,Brahmin,Law Firm,Muslim,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""Yes""}",P023
U024,36,Female,MSC B.Ed,Kayastha,IT,Others,rural,132,"{""Urban_Rural"": ""Urban"", ""Spouse_Working"": ""No""}",P024
U025,21,Male,MBA,OBC,15LPA,Muslim,rural,132,"{""Urban_Rural"": ""Rural"", ""Spouse_Working"": ""No""}",P025
